day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1,2013,1,21,01/21/2013,31.2,16,1015.5,9.2,10.1,20,26,45,27,0,999.9,0,355
7,2013,1,20,01/20/2013,46.3,41.2,1010,7,14.9,20,26,50,43,0,999.9,0,393
2,2013,1,22,01/22/2013,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,999.9,1,544
5,2016,1,8,01/08/2016,41.3,33.1,1022.3,9.9,11.8,20,28,48,30.9,0,999.9,0,602
3,2018,1,24,01/24/2018,41.1,36.1,1008.5,8.8,13.9,20,28.9,51.1,34,0.68,999.9,1,615
6,2013,1,5,01/05/2013,37.3,24.5,1017.3,10,13.2,20,28,42.1,30.9,0,999.9,0,389
2,2015,1,20,01/20/2015,35.7,23.4,1009.5,10,13.1,20,26,44.1,33.1,0.03,999.9,0,500
2,2017,1,10,01/10/2017,35.6,26.3,1037.4,10,13.6,20,999.9,42.1,15.1,0,999.9,0,597
1,2014,1,6,01/06/2014,46.3,45.1,1007,2.5,14.8,20,26,52,41,0.04,999.9,1,518
4,2016,1,14,01/14/2016,28.9,14.7,1013.1,8.1,11.4,20,27,37.9,27,0.01,999.9,0,597
4,2016,1,21,01/21/2016,30.9,10.8,1015.8,10,14.5,20,27,37,25,0,999.9,0,666
2,2018,1,2,01/02/2018,14.7,2,1024.9,10,12.9,20,31.1,18,5,0,999.9,0,654
7,2019,1,6,01/06/2019,39.7,34,1007.1,9.6,13.1,20,28.9,46.9,34,0.86,999.9,0,376
1,2018,1,15,01/15/2018,31.6,24.5,1034.9,9.1,15.4,20,25.1,37.9,25,0,999.9,0,523
2,2017,1,3,01/03/2017,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,999.9,0,659
4,2013,1,10,01/10/2013,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,999.9,0,555
3,2013,1,23,01/23/2013,16.2,-1.1,1018.6,10,15.6,21,28.9,21.9,12.9,0.01,999.9,0,545
1,2019,1,21,01/21/2019,13.7,6.3,1003.4,7,17,21,33,28.9,6.1,1.5,999.9,0,412
2,2018,1,9,01/09/2018,38.3,32.3,1016.8,9.3,14.6,21,28,43,30.9,0.01,999.9,0,684
3,2017,1,4,01/04/2017,46.5,43.7,996.4,6.2,13.6,21,28,53.1,42.1,0.87,999.9,1,590
3,2014,1,1,01/01/2014,28.2,10.4,1025.6,10,11.3,21,28.9,32,25,0,999.9,0,399
6,2014,1,4,01/04/2014,18.8,10.9,1030.5,9.3,12.1,21,26,35.1,8.1,0.01,999.9,0,418
2,2015,1,6,01/06/2015,20.8,5.2,1025.2,8.8,10.3,21,31.1,28,19,0,999.9,0,777
1,2019,1,14,01/14/2019,32.8,22.5,1021.6,10,15.3,21,26,35.1,19.9,0,999.9,0,703
6,2015,1,17,01/17/2015,20.2,1.9,1023.6,10,13.3,21,31.1,39.9,15.1,0,999.9,0,495
3,2013,1,16,01/16/2013,41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,999.9,0,578
5,2018,1,26,01/26/2018,25.3,7,1035,10,14.4,21,31.1,32,21,0,999.9,0,677
2,2013,1,1,01/01/2013,38,25.6,1008.8,10,15,21,28,41,33.1,0,999.9,0,381
6,2019,1,5,01/05/2019,43.8,42.4,1005.8,5,11.8,21,31.1,46.9,30.9,0.25,999.9,0,455
5,2013,1,25,01/25/2013,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,999.9,0,674
5,2017,1,13,01/13/2017,46.8,37.5,1022.8,7.2,12.6,21,25.1,50,37.9,0.39,999.9,0,604
4,2015,1,8,01/08/2015,13.1,-2.4,1022.7,9.9,14.8,21,29.9,27,6.1,0,999.9,0,573
5,2016,1,22,01/22/2016,28,11.8,1020.4,10,13.1,22,29.9,35.1,21.9,0,999.9,0,702
2,2014,1,21,01/21/2014,29.2,17.5,1012.1,8.5,12.6,22,28.9,46.9,23,0,999.9,1,1161
5,2013,1,4,01/04/2013,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,999.9,0,505
7,2015,1,25,01/25/2015,36.5,26.7,1000.4,9.4,16,22,32.1,45,33.1,0.9,999.9,0,406
3,2019,1,9,01/09/2019,44.4,39.6,997.6,5.6,13.4,22,34,46.9,28.9,0.12,999.9,1,514
1,2019,1,7,01/07/2019,27.4,11.7,1024.8,10,17.4,22,31.1,45,21.9,0,999.9,0,583
7,2014,1,26,01/26/2014,26.8,15.4,1004.7,9.4,17.8,22.9,29.9,41,21,0.03,999.9,0,465
4,2017,1,5,01/05/2017,36.4,19.7,1007.8,10,15.4,22.9,33,48,32,0,999.9,0,552
4,2013,1,24,01/24/2013,14.3,-1.9,1018.7,10,15.5,22.9,29.9,19.9,10,0,999.9,0,554
6,2014,1,11,01/11/2014,44.8,43,1019,4.4,13.4,22.9,32.1,51.8,37.9,0,999.9,1,465
