day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2,2016,3,29,03/29/2016,48.6,34.9,1003.4,9.7,19.6,25.1,35,55,41,0.44,999.9,1,683
7,2017,3,5,03/05/2017,20.8,-1.7,1029.2,10,19.8,25.1,35.9,33.1,12,0,999.9,0,489
7,2015,3,22,03/22/2015,35.1,18.8,1011.9,9.4,15.7,25.1,33,41,21,0.13,999.9,0,432
4,2017,3,23,03/23/2017,26.4,1.5,1028.6,10,17.1,25.1,35,46,19.9,0,999.9,0,703
3,2016,3,2,03/02/2016,45.7,38.8,1008.2,6.8,18.2,25.1,31.1,52,37,0.15,999.9,0,653
2,2018,3,27,03/27/2018,37.6,28.7,1032.5,10,16,25.1,29.9,45,30.9,0,999.9,0,627
1,2014,3,3,03/03/2014,27.3,20.3,1017.2,5.8,11.2,25.1,32.1,33.8,21,0,999.9,1,440
2,2016,3,15,03/15/2016,48.3,45.7,1010.6,3.4,17.3,25.1,35,54,41,0.57,999.9,1,608
5,2019,3,22,03/22/2019,42.3,39.4,997.6,6.9,15,25.1,33,48,36,0.75,999.9,0,718
6,2017,3,4,03/04/2017,22.9,0.1,1026.4,9.9,17.8,25.1,33,37,18,0,999.9,0,536
7,2018,3,25,03/25/2018,35.8,32.8,1024.2,9.3,16.6,26,35.9,46,26.1,0,999.9,0,491
4,2015,3,19,03/19/2015,27.6,-1.5,1020.8,10,18.3,26,35,35.1,21.9,0,999.9,0,582
1,2014,3,31,03/31/2014,37.8,35.3,1005.3,6.1,21.3,26,38.1,39.9,36,0.29,999.9,0,559
3,2013,3,6,03/06/2013,39.1,34.2,1014.7,9.4,13.5,26,39,43,32,0.02,999.9,0,475
7,2019,3,10,03/10/2019,36.8,30.2,1027.7,7.1,14.7,27,41,46.9,25,0,999.9,1,462
1,2015,3,16,03/16/2015,32.9,18.5,1011.1,9,17.1,27,39,43,28,0.01,999.9,0,529
2,2015,3,17,03/17/2015,38.6,34.1,1003.7,7.9,10.1,27,39,46.9,28,0.01,999.9,0,528
4,2018,3,8,03/08/2018,39.6,36.3,999.1,8.2,15.8,27,39,46,34,0.79,999.9,0,633
2,2018,3,6,03/06/2018,37.7,30.1,1014.9,10,17.5,27,38.1,41,33.1,0.08,999.9,0,676
6,2019,3,23,03/23/2019,39.3,30.2,999.3,9,21.7,28,38.1,46,32,0,999.9,0,530
1,2019,3,4,03/04/2019,37.9,34,1004.8,7.7,15.3,28,38.1,42.1,26.1,1.22,999.9,0,503
6,2018,3,17,03/17/2018,33.3,17.6,1005.7,10,19.7,28,35,39.9,28,0,999.9,0,562
6,2019,3,2,03/02/2019,35.1,32.5,1016.8,6,16.1,28,35.9,37,33.1,0.35,999.9,0,642
4,2017,3,2,03/02/2017,47.8,36.9,999.2,6.9,21.6,28,41,52,37.9,0,999.9,0,653
3,2018,3,21,03/21/2018,36.8,32.7,1005.4,8.6,21,28,36.9,39,27,0,999.9,0,477
6,2017,3,11,03/11/2017,22.5,7.2,1013.6,9.4,19.3,28.9,39,44.1,17.1,0.07,999.9,0,548
7,2017,3,19,03/19/2017,36,32.2,1019.7,5.6,19.4,28.9,38.1,43,21.9,0.16,999.9,1,550
6,2013,3,9,03/09/2013,39.2,31.7,1018.9,9.9,24.9,28.9,42.9,42.1,37.4,0.4,999.9,0,569
4,2018,3,22,03/22/2018,36.1,35.3,1001.5,6.6,21.5,29.9,41,37.9,33.8,0.86,999.9,0,759
3,2015,3,18,03/18/2015,31,3.9,1009,10,21.1,29.9,44.1,46.9,28,0.19,999.9,0,547
1,2017,3,20,03/20/2017,39.2,26.3,1013.2,9.4,21.4,29.9,41,45,33.1,0.36,999.9,0,750
7,2018,3,4,03/04/2018,39.6,33.6,1013.5,9.9,23.4,29.9,40,43,36,0.11,999.9,0,457
3,2018,3,14,03/14/2018,34.8,29,999.1,9.7,22.8,31.1,40,39,32,0.99,999.9,0,652
6,2016,3,5,03/05/2016,34.8,22.6,1017.4,9.1,20.8,32.1,42,39,30,0.37,999.9,0,601
1,2018,3,5,03/05/2018,37.8,34.5,1011,8.2,24.2,33,44.1,43,33.1,0.38,999.9,0,616
5,2013,3,8,03/08/2013,37.4,35.2,1008.1,3.3,28.4,35,45.1,41,36,1.58,999.9,0,851
2,2017,3,14,03/14/2017,36.3,30.9,1011.8,6,18.1,36.9,51.1,46.9,17.1,0.01,999.9,0,374
3,2017,3,15,03/15/2017,29.8,20.7,995.2,7.5,23.3,38.1,46,46.9,25,1.29,999.9,0,650
4,2013,3,7,03/07/2013,38.3,35.2,1008.2,4.1,31.6,39,55,41,33.8,0.8,999.9,0,535
3,2014,3,26,03/26/2014,30.8,22.2,1001.4,4.7,28,44.1,71.1,34,26.6,0,999.9,1,563
2,2018,3,13,03/13/2018,35,33.4,995.9,3.4,31,44.1,58.1,46,27,1.54,999.9,1,578
6,2018,3,3,03/03/2018,40.2,37.5,1005.3,6.2,34.8,46,62.9,48.9,37,99.99,999.9,0,609
5,2018,3,2,03/02/2018,45.3,45.2,989.8,5.1,23.3,49,65.1,48.9,39,0.35,999.9,0,884
3,2020,4,29,04/29/2020,46.9,35.8,1024.6,10,8.3,12,999.9,55,37,0.02,999.9,0,137
1,2020,4,6,04/06/2020,46.7,37.8,1015,9.9,7.9,14,19,55,37,0,999.9,0,126
3,2020,4,8,04/08/2020,46.5,43,1002.5,9.6,6.4,14,999.9,57.9,43,0.06,999.9,1,124
3,2020,4,15,04/15/2020,44.7,39.1,1012.9,9.6,7.4,14,20,48,42.8,0.22,999.9,1,138
7,2020,4,12,04/12/2020,45.9,31.8,1021.9,10,9,15,999.9,53.1,36,0,999.9,0,105
2,2020,4,7,04/07/2020,49,34.1,1011.6,10,10.1,15,999.9,57.9,41,0,999.9,0,129
6,2020,4,25,04/25/2020,47.7,36.3,1015.2,10,7.8,15,999.9,59,39.9,0.48,999.9,0,152
4,2020,4,23,04/23/2020,42.8,20.9,1015.9,10,14.7,19,28.9,48.9,36,0,999.9,0,108
1,2020,4,20,04/20/2020,46.8,39.4,1004.4,9.9,13.3,19,26,52,37,0,999.9,1,140
6,2020,4,11,04/11/2020,44.1,30.8,1005.8,10,15.6,21,31.1,51.1,39.9,0.01,999.9,0,121
7,2020,4,26,04/26/2020,45.3,40.9,1017.9,7.9,11.3,22,31.1,59,39.9,0,999.9,1,140
4,2020,4,30,04/30/2020,46.8,41.4,1025.9,9.8,17.1,22,27,55,37,0,999.9,0,172
6,2020,4,4,04/04/2020,42.3,38.4,1011.2,6.8,21.1,26,35.9,45,39,0.6,999.9,1,155
1,2020,4,27,04/27/2020,46.3,34,1003.5,1.3,13.1,27,35.9,52,39.9,0.43,999.9,1,131
5,2020,4,3,04/03/2020,43.7,41.9,994.9,3.7,25.6,34,42.9,45,33.1,0.48,999.9,1,190
1,2020,4,13,04/13/2020,51.6,48.9,1017.6,6.6,19.6,39,53,57,36,0.03,999.9,1,137
7,2013,4,28,04/28/2013,48,38.5,1027.1,9.8,3.9,8,999.9,57,37,0,999.9,0,440
6,2013,4,27,04/27/2013,46.6,34.7,1029.1,8.6,3.9,8,999.9,55.9,35.1,0,999.9,1,517
2,2014,4,22,04/22/2014,49.5,43.2,1007.7,10,5.6,8.9,999.9,57.9,34,0,999.9,0,459
1,2013,4,29,04/29/2013,49.7,37.9,1025.5,9.9,4.3,8.9,999.9,59,39.9,0,999.9,0,598
7,2020,4,5,04/05/2020,41.8,36.3,1017.5,10,6,8.9,999.9,50,35.1,0.01,999.9,0,93
5,2017,4,14,04/14/2017,47.5,34.1,1027.8,10,5,8.9,999.9,57.9,37.9,0,999.9,0,515
4,2019,4,25,04/25/2019,47.7,40.9,1013.3,9.9,5.6,8.9,999.9,66,39.9,0.02,999.9,0,518
1,2017,4,24,04/24/2017,46.6,42.4,1021.9,10,7.6,9.9,999.9,55.9,42.1,0,999.9,0,541
7,2018,4,29,04/29/2018,50.5,48.7,1010.3,9.2,5.9,9.9,15,60.1,43,0,999.9,0,505
6,2018,4,28,04/28/2018,49.5,48.3,1010.7,5.1,6.3,9.9,999.9,60.1,39.9,0.13,999.9,1,604
3,2018,4,11,04/11/2018,37.9,33,1021,10,6.5,9.9,999.9,44.1,30,0,999.9,0,612
7,2015,4,26,04/26/2015,46.1,34,1004.6,9.8,7.4,11.1,999.9,54,37,0,999.9,0,477
1,2013,4,15,04/15/2013,46.1,34.2,1026,10,8.1,11.1,999.9,53.1,39,0,999.9,0,603
1,2014,4,21,04/21/2014,43.1,36.9,1022.3,10,6.2,11.1,999.9,53.1,34,0,999.9,0,521
2,2018,4,10,04/10/2018,37.7,31.7,1021.9,9.1,6.5,11.1,999.9,42.1,30.9,0,999.9,0,668
7,2019,4,7,04/07/2019,45.3,39.4,1023.5,10,7.4,11.1,999.9,60.1,37.9,0.01,999.9,0,487
3,2014,4,2,04/02/2014,39.3,28.6,1019.1,10,5.6,11.1,999.9,48,32,0,999.9,0,519
2,2013,4,30,04/30/2013,51,30.2,1026.2,10,5.2,11.1,999.9,63,39.9,0,999.9,0,576
2,2018,4,24,04/24/2018,44.7,41.7,1030.4,10,6.7,11.1,999.9,57.9,34,0,999.9,0,671
4,2017,4,27,04/27/2017,52.9,50.7,1011.6,3,5.3,12,999.9,63,48,0.06,999.9,1,688
1,2016,4,18,04/18/2016,49.5,35.9,1022.5,10,6,12,999.9,64,37,0,999.9,0,687
1,2018,4,23,04/23/2018,46.4,33.6,1030.7,10,7.1,12,15.9,57.9,35.1,0,999.9,0,675
3,2016,4,27,04/27/2016,45,36.9,1011.9,10,7.8,12,999.9,51.1,41,0.24,999.9,0,510
5,2013,4,26,04/26/2013,49.5,37.8,1026.9,9.5,6.5,12,999.9,61,37.9,0.06,999.9,0,675
1,2015,4,13,04/13/2015,45,38.2,1027.8,10,9.1,12,999.9,54,32,0,999.9,0,554
5,2019,4,12,04/12/2019,43.8,35.3,1027,10,8.4,13,999.9,48,35.1,0,999.9,0,688
1,2013,4,8,04/08/2013,50,41.6,1018.1,9.1,9.4,13,999.9,62.1,42.1,0,999.9,0,582
6,2014,4,12,04/12/2014,50.1,40.8,1019.1,8.5,8.6,13,999.9,64,43,0,999.9,0,578
3,2017,4,12,04/12/2017,49.1,45.1,1020.6,8.3,9.9,13,999.9,55,46,0,999.9,0,540
2,2019,4,30,04/30/2019,45.6,40.5,1024.6,8.3,7.6,13,999.9,54,42.1,0.31,999.9,0,587
1,2017,4,3,04/03/2017,43,31.7,1018,10,6.9,13,999.9,54,32,0,999.9,0,646
7,2013,4,14,04/14/2013,46.1,38.4,1015.5,9.6,7.7,13,999.9,55.9,39,0.09,999.9,0,472
1,2015,4,6,04/06/2015,43.2,36.1,1026.3,9.5,6.8,13,999.9,51.1,32,0,999.9,1,510
4,2015,4,16,04/16/2015,46.4,28.5,1029.7,10,8.6,13,17.1,62.1,37.9,0,999.9,0,560
7,2019,4,14,04/14/2019,50.8,48.7,1014.4,2.7,7.7,13,999.9,68,45,0.04,999.9,1,457
6,2014,4,19,04/19/2014,45.7,35.3,1023.5,10,5.9,14,18.1,59,34,0,999.9,0,525
4,2018,4,19,04/19/2018,41.8,40.6,1007,9.6,8.6,14,999.9,46.9,37,0.02,999.9,0,706
7,2014,4,13,04/13/2014,47,40.4,1023.8,9.3,8.8,14,20,64,39,0,999.9,1,482
7,2014,4,27,04/27/2014,42.4,36.2,1012.5,9.9,4.8,14,17.1,50,36,0.37,999.9,0,449
3,2015,4,29,04/29/2015,49.3,38.5,1004.5,9.8,7.8,14,18.1,55.9,39.9,0,999.9,0,679
4,2018,4,12,04/12/2018,42.8,38.5,1019.4,10,9.8,14,999.9,50,28.9,0,999.9,0,610
6,2015,4,18,04/18/2015,51.9,45.2,1012.7,7.3,7.7,14,999.9,64,41,0.12,999.9,1,605
1,2016,4,25,04/25/2016,48.4,36.3,1017.1,10,9.2,14,999.9,55,37,0,999.9,0,488
6,2016,4,9,04/09/2016,41.8,25.1,1007.5,10,9.7,14,21,53.1,35.1,0,999.9,0,557
5,2016,4,29,04/29/2016,46.1,33.9,1020.4,10,9.4,14,19,54,42.1,0,999.9,0,517
1,2019,4,22,04/22/2019,52.1,51.5,1017.3,2.3,7.3,14,999.9,57.9,48,0.03,999.9,1,522
3,2019,4,17,04/17/2019,47.5,30.3,1019.3,10,10.1,14,22.9,55.9,39,0,999.9,0,620
7,2018,4,22,04/22/2018,46.3,33.1,1026.8,10,7.2,14,999.9,55.9,37,0,999.9,0,568
1,2018,4,2,04/02/2018,37.7,31.2,1018.7,8.1,8.4,14,999.9,50,33.1,0.01,999.9,1,562
3,2019,4,24,04/24/2019,51.5,47.2,1007.2,8,9.8,15,999.9,66,44.1,0.03,999.9,0,515
6,2019,4,13,04/13/2019,49.7,48,1020.8,5.2,12.6,15,20,52,39,0,999.9,1,599
5,2014,4,18,04/18/2014,40.4,32,1032.7,9.9,9.1,15,21,46,35.1,0,999.9,0,496
5,2019,4,5,04/05/2019,39.4,18.1,1031,10,10.7,15,22.9,48.9,36,0,999.9,0,701
1,2014,4,7,04/07/2014,42,33.9,1022.6,10,7.4,15,22,48.9,35.1,0,999.9,0,533
5,2017,4,28,04/28/2017,53.1,51,1015.6,3.3,8.2,15,19,63,48,0,999.9,1,857
4,2013,4,25,04/25/2013,50.8,45.1,1017.9,7.2,10.4,15,20,55.9,45,0.01,999.9,0,583
6,2017,4,15,04/15/2017,46.8,38,1028.2,9.7,9.2,15,999.9,57.9,35.1,0,999.9,0,495
7,2017,4,9,04/09/2017,46.3,30.9,1017.4,10,10.5,15,21,55,39,0,999.9,0,541
6,2018,4,21,04/21/2018,44.6,31.9,1024.6,10,10.5,15,18.1,52,37,0,999.9,0,584
4,2016,4,28,04/28/2016,47.7,34.1,1015.8,10,10.1,15,999.9,54,41,0,999.9,0,489
1,2015,4,27,04/27/2015,49,37.9,1001.5,10,8.9,15,21,57,39,0,999.9,0,558
5,2014,4,4,04/04/2014,40,30.2,1019.1,10,7.7,15,20,48,33.1,0,999.9,0,622
2,2013,4,16,04/16/2013,46,40.5,1028.7,10,9.3,15.9,999.9,53.1,37.9,0,999.9,0,564
7,2015,4,12,04/12/2015,45,31.4,1022.8,10,10.1,15.9,22.9,57.9,32,0,999.9,0,443
3,2013,4,10,04/10/2013,46.5,42,1014.1,7.6,8.8,15.9,17.1,54,41,0.12,999.9,1,580
5,2014,4,25,04/25/2014,49,32.3,1013.4,10,10.5,15.9,22.9,57,43,0,999.9,0,617
4,2015,4,2,04/02/2015,37.1,27.6,1022.3,9.9,7,15.9,999.9,46.9,24.1,0,999.9,0,653
4,2015,4,30,04/30/2015,48.1,38.3,1009.8,10,7.8,15.9,19,57,39,0,999.9,0,640
2,2017,4,11,04/11/2017,49.8,44,1021.8,8.8,12.1,15.9,999.9,55,41,0,999.9,0,519
5,2015,4,17,04/17/2015,47.5,43.2,1021.5,6.9,12.5,15.9,24.1,54,39,0,999.9,1,679
3,2015,4,22,04/22/2015,49.8,39.7,1007.9,10,8.6,15.9,22,57,37.9,0.05,999.9,0,568
1,2017,4,10,04/10/2017,46.9,39.6,1023.2,10,10.2,15.9,999.9,55,39.9,0,999.9,0,634
7,2013,4,21,04/21/2013,45.1,28.5,1029.4,10,11.7,15.9,22,48.9,39,0.24,999.9,0,471
4,2017,4,13,04/13/2017,49.8,38.5,1024.2,9.5,8.2,15.9,20,57,42.1,0,999.9,0,590
3,2014,4,30,04/30/2014,43.5,36.5,1030.7,9.8,12.3,15.9,24.1,46,41,0.01,999.9,0,651
1,2017,4,17,04/17/2017,56.4,48.3,1010.6,8.7,12,15.9,21,70,48.9,0,999.9,0,488
4,2014,4,3,04/03/2014,40.9,30.9,1018.5,10,8.4,15.9,20,48.9,33.1,0,999.9,0,592
5,2016,4,22,04/22/2016,55.4,48.4,1013.8,8.7,10.2,15.9,999.9,72,44.1,0,999.9,1,741
4,2014,4,10,04/10/2014,41.6,28.9,1019.5,9.9,8.8,15.9,999.9,57,28,0,999.9,0,645
7,2013,4,7,04/07/2013,39.7,28.6,1025.8,10,9.2,17.1,999.9,48,26.1,0,999.9,0,451
3,2017,4,19,04/19/2017,41.7,32.2,1033.5,10,10.5,17.1,20,53.1,32,0,999.9,0,580
1,2016,4,11,04/11/2016,47.8,38.9,1026,9.9,12.8,17.1,999.9,55,35.1,0,999.9,0,624
7,2014,4,6,04/06/2014,41.1,25.3,1017.6,10,12.5,17.1,22.9,46.9,35.1,0,999.9,0,484
2,2019,4,2,04/02/2019,37.1,22.5,1029.6,10,8.7,17.1,22,46.9,23,0,999.9,0,553
3,2014,4,23,04/23/2014,49.5,45.4,998,9.2,8.6,17.1,29.9,57.9,43,0.01,999.9,0,536
6,2016,4,30,04/30/2016,47.3,33.1,1022.4,10,8.7,17.1,22,54,37,0,999.9,0,581
4,2013,4,18,04/18/2013,46.5,37.3,1028.1,10,8.8,17.1,24.1,54,35.1,0,999.9,0,553
5,2013,4,5,04/05/2013,42.9,38.5,1014.7,8.7,8,17.1,22,48,39,0.01,999.9,0,582
3,2013,4,17,04/17/2013,52.1,42.7,1021.9,8.3,11,17.1,22.9,60.1,44.1,0.03,999.9,0,535
4,2020,4,16,04/16/2020,43.7,30.9,1015.1,10,8.5,17.1,20,52,32,0.01,999.9,0,137
4,2017,4,20,04/20/2017,47.5,44.1,1022.6,5.9,9.8,17.1,20,54,32,0.09,999.9,1,632
2,2018,4,3,04/03/2018,35.3,32.5,1021.9,9.3,7.5,17.1,21,45,24.1,0.3,999.9,0,551
1,2019,4,29,04/29/2019,47.8,34.7,1025.4,9.8,10.9,17.1,19,54,42.1,0.24,999.9,0,565
7,2019,4,28,04/28/2019,46.9,36.3,1013.8,9.4,8.8,17.1,26,57,43,0.14,999.9,0,395
7,2017,4,23,04/23/2017,46.5,39.5,1017.3,10,10.5,17.1,24.1,55.9,43,0.27,999.9,0,517
6,2019,4,6,04/06/2019,46.3,41.2,1022.7,9.2,10.3,17.1,999.9,60.1,36,0.07,999.9,0,587
3,2014,4,9,04/09/2014,46.8,36.1,1002.5,9.6,10,17.1,22.9,57,42.1,0.45,999.9,0,595
1,2019,4,8,04/08/2019,46.2,45.3,1016.8,5.9,8.4,18.1,999.9,50,37.9,0,999.9,1,594
5,2014,4,11,04/11/2014,48,40.6,1017.8,8.8,13.4,18.1,21,53.1,44.1,0,999.9,0,609
1,2014,4,14,04/14/2014,52.2,47.8,1019.3,7,14.4,18.1,22.9,57.9,39,0,999.9,0,514
1,2018,4,9,04/09/2018,36.3,20.4,1018.1,10,12.6,18.1,22.9,42.1,30.9,0.01,999.9,0,625
3,2016,4,13,04/13/2016,46.7,34.2,1025.8,9.8,12.9,18.1,27,57.9,37.9,0.13,999.9,0,700
4,2019,4,11,04/11/2019,40.3,24,1021,10,10.8,18.1,24.1,48.9,35.1,0,999.9,0,537
7,2015,4,5,04/05/2015,41.6,27.3,1020.4,10,12.5,18.1,25.1,57,34,0.05,999.9,0,422
7,2014,4,20,04/20/2014,44.2,31.2,1030.4,10,9.2,18.1,21,59,34,0,999.9,0,393
2,2016,4,26,04/26/2016,46.8,42.8,1010.4,9,9.4,18.1,25.1,55,39.9,0.07,999.9,0,479
6,2016,4,2,04/02/2016,50.4,47.7,1000,5,8.5,18.1,25.1,59,46,0.79,999.9,1,597
6,2014,4,26,04/26/2014,44.9,36.6,1009.1,9.4,12.2,18.1,26,55,42.1,0,999.9,0,548
2,2015,4,7,04/07/2015,44.2,40.5,1024,8.6,9.3,18.1,21,51.1,32,0.12,999.9,0,452
2,2016,4,12,04/12/2016,52.5,48.6,1018.9,6.4,13.6,18.1,999.9,57.9,44.1,0,999.9,0,638
7,2017,4,30,04/30/2017,53.4,40,1022.3,9.8,12.6,19,27,66.9,45,0,999.9,0,470
2,2019,4,23,04/23/2019,48.8,46.6,1012.2,6.3,11.4,19,28,57.9,44.1,0.28,999.9,1,592
6,2016,4,23,04/23/2016,53.4,49.8,1009,5.6,9.3,19,26,72,50,0.13,999.9,1,649
5,2018,4,20,04/20/2018,43.2,33.2,1014.9,10,11.6,19,24.1,51.1,37,0.08,999.9,0,707
5,2015,4,3,04/03/2015,45,41.6,1012.8,5.9,14.6,19,22,48,42.1,0,999.9,0,491
3,2015,4,15,04/15/2015,50.6,35.8,1019.2,8.3,6.9,19,27,62.1,37.9,0.03,999.9,1,595
1,2018,4,30,04/30/2018,46.2,40.4,1013.5,10,12,19,22,57.9,41,0.07,999.9,0,656
6,2014,4,5,04/05/2014,44.8,39.6,1008.7,7.7,13.8,19,25.1,50,41,0.03,999.9,1,580
6,2015,4,25,04/25/2015,43.7,27.5,1007.6,9.9,12.9,19,22.9,51.1,37,0,999.9,0,592
5,2013,4,19,04/19/2013,52.6,49.4,1018.1,4.6,12.5,19,29.9,59,46,0,999.9,1,570
5,2017,4,21,04/21/2017,45.7,43.4,1017,4.6,13.9,19,27,46.9,44.6,0.03,999.9,0,690
2,2019,4,9,04/09/2019,41.4,38.2,1006.5,9.4,12.7,19,24.1,50,39,0.19,999.9,0,537
4,2013,4,4,04/04/2013,39,18.8,1023.2,10,14,19,28,45,34,0,999.9,0,566
4,2013,4,11,04/11/2013,46.2,41,1013.7,6.6,10,19,26,52,42.8,0.06,999.9,1,517
3,2016,4,6,04/06/2016,37,15.3,1026.7,10,10.7,19,26,44.1,28.9,0,999.9,0,628
3,2019,4,10,04/10/2019,41.8,34.8,1007.6,9.3,10.4,19,22.9,48.9,35.1,0.1,999.9,0,633
6,2015,4,11,04/11/2015,47.8,40.7,1010.9,5.1,12.4,19,24.1,57.9,39.9,0.26,999.9,1,576
1,2014,4,28,04/28/2014,46.5,37.2,1016.1,10,13.7,20,24.1,52,41,0.01,999.9,0,597
3,2017,4,5,04/05/2017,42.6,38.4,1010.8,7.8,14.1,20,27,46.9,39,0.38,999.9,1,587
6,2013,4,6,04/06/2013,40.2,22,1018.3,10,12.5,20,28.9,45,35.1,0.33,999.9,0,531
2,2016,4,19,04/19/2016,46.9,40,1016,9.8,7.9,20,999.9,64,37.9,0,999.9,0,732
4,2016,4,21,04/21/2016,49.6,39,1020.5,10,13.4,20,27,59,39,0,999.9,0,694
7,2015,4,19,04/19/2015,46.3,37.4,1022,9.9,11,20,27,64,39.9,0,999.9,0,471
7,2018,4,1,04/01/2018,44.2,40.5,1017.3,10,13.4,20,27,50,39,0,999.9,0,399
1,2013,4,22,04/22/2013,43,29.8,1037.8,10,11.3,20,25.1,50,34,0,999.9,0,565
2,2015,4,14,04/14/2015,49.8,46.3,1021.3,8.9,10.2,20,29.9,54,37.9,0,999.9,0,542
2,2013,4,9,04/09/2013,49.4,43.4,1015.9,6.7,10.7,20,28,63,39.9,0,999.9,1,613
1,2016,4,4,04/04/2016,36.5,22.1,1015.4,8.2,10.3,20,29.9,46.9,30.9,0.07,999.9,0,683
6,2017,4,22,04/22/2017,46.7,44.5,1012.1,5.7,13.2,20,27,48.9,44.1,0.19,999.9,0,551
1,2019,4,1,04/01/2019,41.8,26.6,1014.7,10,15.2,20,28,55.9,36,0.07,999.9,0,602
6,2017,4,29,04/29/2017,54.2,51.6,1015.5,2.7,11.6,21,28,64,48.2,0.11,999.9,1,661
2,2017,4,25,04/25/2017,49.7,46.6,1021.4,6.7,14.2,21,28.9,52,42.1,0.01,999.9,0,723
5,2015,4,24,04/24/2015,44,27.7,1006,10,14.6,21,28,51.1,37.9,0,999.9,0,676
7,2016,4,24,04/24/2016,49.1,31.2,1014.6,10,13.4,21,27,60.1,44.1,0.26,999.9,0,448
4,2014,4,17,04/17/2014,37.5,23.8,1037.9,10,15.2,21,28.9,53.1,34,0.67,999.9,0,508
5,2015,4,10,04/10/2015,43.9,41.7,1015.2,3.6,9.4,21,27,53.1,37,0.01,999.9,1,486
4,2018,4,26,04/26/2018,50,48.9,1005.4,3.2,12.7,21,27,55,48,0.81,999.9,1,729
7,2018,4,8,04/08/2018,37.9,28.3,1009.4,9.5,11.2,21,28,50,33.1,0.03,999.9,0,468
3,2015,4,1,04/01/2015,37.9,24.8,1012.3,9.8,11.5,21,26,46,34,0.01,999.9,0,648
6,2018,4,7,04/07/2018,43.5,37.2,1008.6,8.7,10.7,21,29.9,50,28.9,0.1,999.9,0,487
7,2019,4,21,04/21/2019,52.2,51.5,1018.4,2.3,11.6,21,28,61,48.9,0.51,999.9,1,398
6,2018,4,14,04/14/2018,47.7,45,1017.1,7,13.7,21,28.9,52,42.1,0.08,999.9,0,624
2,2018,4,17,04/17/2018,45.6,41.3,1001.3,8.4,16.1,22,28.9,53.1,39,0.43,999.9,0,600
2,2017,4,18,04/18/2017,47.8,39.2,1024.7,10,12.1,22,29.9,53.1,41,0,999.9,0,516
3,2015,4,8,04/08/2015,41.2,34.2,1028.3,10,14.8,22,28,48,39,0.06,999.9,0,457
6,2019,4,20,04/20/2019,54.5,52.8,1013.8,2.9,17.7,22,31.1,61,48.9,0,999.9,1,456
2,2013,4,23,04/23/2013,44.6,40,1026.9,5.1,15,22,28.9,46.4,42.1,0.11,999.9,0,513
4,2015,4,23,04/23/2015,46.9,37.6,1003.6,9.8,13.4,22,28.9,57,37.9,0.13,999.9,0,612
4,2019,4,4,04/04/2019,44.5,26,1023.7,9.8,16.5,22,32.1,50,37,0.19,999.9,0,660
7,2018,4,15,04/15/2018,39.7,31.5,1027.4,9,17.5,22,33,55,37,0,999.9,0,510
6,2017,4,8,04/08/2017,43.9,30.6,1002.9,9.8,16.5,22,28.9,51.1,39,0,999.9,0,627
7,2017,4,16,04/16/2017,51.9,46.9,1014.7,5.3,15.7,22,28,57,37,0,999.9,1,481
5,2018,4,27,04/27/2018,48.8,46.9,1011.9,7.8,9.2,22,999.9,55.9,39.9,0.03,999.9,1,690
7,2016,4,10,04/10/2016,40.6,23.9,1019.2,10,15.7,22,28.9,48,35.1,0,999.9,0,499
2,2014,4,29,04/29/2014,44.2,36,1028.1,10,16.5,22,28,46.9,42.1,0,999.9,0,555
2,2014,4,15,04/15/2014,52.6,48,1013.3,6.6,16,22,32.1,57.9,48.9,0,999.9,0,452
5,2019,4,19,04/19/2019,53.7,50.7,1014.1,4.8,16.7,22,32.1,59,50,0,999.9,1,551
7,2016,4,17,04/17/2016,45.8,36.5,1027.9,10,15.4,22.9,29.9,52,42.1,0,999.9,0,568
2,2014,4,8,04/08/2014,47.7,45.8,1003.5,1.9,14.7,22.9,29.9,52,44.1,0.7,999.9,1,606
5,2020,4,24,04/24/2020,46.3,42.8,1008.7,7.7,12.5,22.9,34,50,36,0.54,999.9,1,172
6,2020,4,18,04/18/2020,41,37,1010.2,6.9,15.3,22.9,28.9,46.9,36,0.61,999.9,1,125
4,2019,4,18,04/18/2019,43.7,38.7,1023.9,9.6,12.1,22.9,29.9,55.9,34,0,999.9,0,540
6,2013,4,13,04/13/2013,44.4,39.7,1008.2,8.2,12.9,22.9,33,53.6,39,1.44,999.9,1,555
1,2019,4,15,04/15/2019,52,51.1,997.1,2.1,15.1,22.9,32.1,68,45,0.03,999.9,1,657
4,2018,4,5,04/05/2018,39.9,24,1010.7,10,17,22.9,33,57,34,0.17,999.9,0,531
2,2013,4,2,04/02/2013,39.6,18.8,1011.4,9.9,17.2,22.9,33,51.1,32,0.02,999.9,0,437
5,2020,4,17,04/17/2020,42.2,20.9,1020.9,10,16.3,22.9,28.9,52,32,0,999.9,0,157
4,2015,4,9,04/09/2015,39.4,35.5,1024.6,4.5,18.7,24.1,33,46.9,37,0.18,999.9,0,452
3,2016,4,20,04/20/2016,47.3,33.8,1020.5,10,11.7,24.1,28,55,37.9,0.01,999.9,0,697
2,2020,4,21,04/21/2020,42.4,33,1004.5,9.4,11.8,24.1,49,52,28.9,0,999.9,1,120
